15.0 IONIC_LIQ#2 	Composition SiO2 in User-defined (SLAG) [Mass percent] [2]	Composition FeO in User-defined (SLAG) [Mass percent] [2]	20.0 IONIC_LIQ#2 	Composition SiO2 in User-defined (SLAG) [Mass percent] [3]	Composition FeO in User-defined (SLAG) [Mass percent] [3]	25.0 IONIC_LIQ#2 	Composition SiO2 in User-defined (SLAG) [Mass percent] [4]	Composition FeO in User-defined (SLAG) [Mass percent] [4]	40.0 IONIC_LIQ#2 	Composition SiO2 in User-defined (SLAG) [Mass percent] [5]	Composition FeO in User-defined (SLAG) [Mass percent] [5]	60.0 IONIC_LIQ#2 	Composition SiO2 in User-defined (SLAG) [Mass percent] [6]	Composition FeO in User-defined (SLAG) [Mass percent] [6]	80.0 IONIC_LIQ#2 	Composition SiO2 in User-defined (SLAG) [Mass percent] [7]	Composition FeO in User-defined (SLAG) [Mass percent] [7]	100.0 IONIC_LIQ#2 	Composition SiO2 in User-defined (SLAG) [Mass percent] [8]	Composition FeO in User-defined (SLAG) [Mass percent] [8]	120.0 IONIC_LIQ#2 	Composition SiO2 in User-defined (SLAG) [Mass percent] [9]	Composition FeO in User-defined (SLAG) [Mass percent] [9]	130.0 IONIC_LIQ#2 	Composition SiO2 in User-defined (SLAG) [Mass percent] [10]	Composition FeO in User-defined (SLAG) [Mass percent] [10]	150.0 IONIC_LIQ#2 	Composition SiO2 in User-defined (SLAG) [Mass percent] [11]	Composition FeO in User-defined (SLAG) [Mass percent] [11]	0.17400000000000002 Ratio of liquid slag to all slag (by weight) 	Composition SiO2 in User-defined (SLAG) [Mass percent] [13]	Composition FeO in User-defined (SLAG) [Mass percent] [13]	0.261 Ratio of liquid slag to all slag (by weight) 	Composition SiO2 in User-defined (SLAG) [Mass percent] [14]	Composition FeO in User-defined (SLAG) [Mass percent] [14]	0.34800000000000003 Ratio of liquid slag to all slag (by weight) 	Composition SiO2 in User-defined (SLAG) [Mass percent] [15]	Composition FeO in User-defined (SLAG) [Mass percent] [15]	0.43500000000000005 Ratio of liquid slag to all slag (by weight) 	Composition SiO2 in User-defined (SLAG) [Mass percent] [16]	Composition FeO in User-defined (SLAG) [Mass percent] [16]	0.522 Ratio of liquid slag to all slag (by weight) 	Composition SiO2 in User-defined (SLAG) [Mass percent] [17]	Composition FeO in User-defined (SLAG) [Mass percent] [17]	0.6090000000000001 Ratio of liquid slag to all slag (by weight) 	Composition SiO2 in User-defined (SLAG) [Mass percent] [18]	Composition FeO in User-defined (SLAG) [Mass percent] [18]	0.6960000000000001 Ratio of liquid slag to all slag (by weight) 	Composition SiO2 in User-defined (SLAG) [Mass percent] [19]	Composition FeO in User-defined (SLAG) [Mass percent] [19]	0.783 Ratio of liquid slag to all slag (by weight) 	Composition SiO2 in User-defined (SLAG) [Mass percent] [20]	Composition FeO in User-defined (SLAG) [Mass percent] [20]	0.8700000000000001 Ratio of liquid slag to all slag (by weight) 	Composition SiO2 in User-defined (SLAG) [Mass percent] [21]	Composition FeO in User-defined (SLAG) [Mass percent] [21]	0.9570000000000001 Ratio of liquid slag to all slag (by weight) 	Composition SiO2 in User-defined (SLAG) [Mass percent] [22]	Composition FeO in User-defined (SLAG) [Mass percent] [22]
15.00000	16.90646	34.00000	20.00000	20.47093	34.00000	25.00000	21.95202	34.00000	40.00000	24.69360	34.00000	60.00000	33.85590	34.00000	80.00000	34.00000	23.66840	100.00000	2.68599	0.00000	120.00000	34.00000	12.58464	130.00000	34.00000	9.83946	150.00000	33.76018	0.00000	0.17400	0.00000	4.37390	0.26100	0.00000	11.19179	0.34800	0.00000	16.81638	0.43500	0.00000	21.99529	0.52200	0.00000	26.94186	0.60900	0.00000	31.73917	0.69600	1.15902	34.00000	0.78300	3.45527	34.00000	0.87000	5.78907	34.00000	0.95700	8.14563	34.00000
15.00000	16.68466	33.15000	20.00000	20.46913	33.15000	25.00000	21.98126	33.15000	40.00000	24.69739	33.15000	60.00000	33.40720	33.15000	80.00000	33.15000	23.64660	100.00000	2.55000	0.02472	120.00000	33.34340	12.75000	130.00000	33.15000	9.95493	150.00000	33.22665	0.85000	0.17400	0.03764	4.25000	0.26100	0.05721	11.05000	0.34800	0.29562	16.15000	0.43500	0.34444	21.25000	0.52200	0.27822	26.35000	0.60900	0.13681	31.45000	0.69600	1.57460	33.15000	0.78300	3.89336	33.15000	0.87000	5.95000	33.69551	0.95700	8.50000	33.29654
15.00000	16.42847	32.30000	20.00000	20.45566	32.30000	25.00000	22.00318	32.30000	40.00000	24.70215	32.30000	60.00000	33.15000	32.76540	80.00000	32.30000	23.77283	100.00000	1.70000	0.23353	120.00000	33.15000	12.79864	130.00000	32.30000	9.43456	150.00000	33.15000	0.95357	0.17400	0.28374	3.40000	0.26100	0.39194	10.20000	0.34800	0.66929	15.30000	0.43500	0.73661	20.40000	0.52200	0.67804	25.50000	0.60900	0.53919	30.60000	0.69600	1.70000	32.89380	0.78300	4.25000	32.46043	0.87000	6.23925	33.15000	0.95700	8.66259	33.15000
15.00000	16.15000	31.49859	20.00000	20.40000	31.46710	25.00000	22.01689	31.45000	40.00000	24.70735	31.45000	60.00000	32.53060	32.30000	80.00000	32.12787	23.80000	100.00000	0.85000	0.53911	120.00000	32.66810	12.75000	130.00000	32.25888	9.35000	150.00000	32.30000	1.23516	0.17400	0.51868	2.55000	0.26100	0.71771	9.35000	0.34800	0.85000	14.88410	0.43500	0.85000	20.15314	0.52200	0.85000	25.13416	0.60900	0.85000	29.94477	0.69600	1.99613	32.30000	0.78300	4.33359	32.30000	0.87000	6.69135	32.30000	0.95700	9.02937	32.30000
15.00000	16.12586	31.45000	20.00000	20.39786	31.45000	25.00000	22.02139	30.60000	40.00000	24.71249	30.60000	60.00000	32.30000	32.15866	80.00000	31.45000	23.91148	100.00000	0.35064	0.85000	120.00000	32.30000	12.70786	130.00000	31.93048	8.50000	150.00000	32.13836	0.85000	0.17400	0.74331	1.70000	0.26100	0.85000	8.99405	0.34800	1.04272	14.45000	0.43500	1.13401	19.55000	0.52200	1.08370	24.65000	0.60900	0.94483	29.75000	0.69600	2.42118	31.45000	0.78300	4.77663	31.45000	0.87000	6.80000	32.09580	0.95700	9.35000	31.70606
15.00000	15.64070	30.60000	20.00000	20.20677	30.60000	25.00000	22.01557	29.75000	40.00000	24.71711	29.75000	60.00000	31.45000	31.98700	80.00000	30.60000	23.87030	100.00000	0.00000	1.09993	120.00000	31.55487	11.90000	130.00000	31.69821	7.65000	150.00000	31.84531	0.00000	0.17400	0.85000	1.27775	0.26100	1.03803	8.50000	0.34800	1.41470	13.60000	0.43500	1.53235	18.70000	0.52200	1.49370	23.80000	0.60900	1.35875	28.90000	0.69600	2.55000	31.19260	0.78300	5.10000	30.83103	0.87000	7.14432	31.45000	0.95700	9.62801	31.45000
15.00000	15.30000	30.08868	20.00000	20.01708	29.75000	25.00000	21.99825	28.90000	40.00000	24.72079	28.90000	60.00000	30.60000	31.99167	80.00000	30.47858	23.80000	100.00000	34.00000	17.72152	120.00000	31.45000	11.75011	130.00000	31.53610	6.80000				0.17400	0.96392	0.85000	0.26100	1.35170	7.65000	0.34800	1.70000	12.93749	0.43500	1.70000	18.33981	0.52200	1.70000	23.37167	0.60900	1.70000	28.20068	0.69600	2.85070	30.60000	0.78300	5.22133	30.60000	0.87000	7.59883	30.60000	0.95700	9.94760	30.60000
15.00000	14.90182	29.75000	20.00000	19.82642	28.90000	25.00000	21.95971	28.05000	40.00000	24.72308	28.05000	60.00000	29.75000	31.97758	80.00000	29.75000	23.31952	100.00000	33.45099	17.85000	120.00000	31.23457	11.05000	130.00000	31.45000	6.43526				0.17400	1.18277	0.00000	0.26100	1.65559	6.80000	0.34800	1.78188	12.75000	0.43500	1.93147	17.85000	0.52200	1.90669	22.95000	0.60900	1.77493	28.05000	0.69600	3.28290	29.75000	0.78300	5.66770	29.75000	0.87000	7.65000	30.50419	0.95700	10.20000	30.13522
15.00000	14.45000	29.41529	20.00000	19.63254	28.05000	25.00000	21.89468	27.20000	40.00000	24.72352	27.20000	60.00000	28.90000	31.69119	80.00000	29.54474	22.95000	100.00000	33.15000	17.92016	120.00000	31.03417	10.20000	130.00000	31.37365	5.95000							0.26100	1.70000	6.67133	0.34800	2.14618	11.90000	0.43500	2.32984	17.00000	0.52200	2.32224	22.10000	0.60900	2.19727	27.20000	0.69600	3.40000	29.51969	0.78300	5.95000	29.21292	0.87000	8.05332	29.75000	0.95700	10.56348	29.75000
15.00000	13.60000	29.20199	20.00000	19.55000	27.70191	25.00000	21.79730	26.35000	40.00000	24.72166	26.35000	60.00000	28.67893	31.45000	80.00000	29.15912	22.10000	100.00000	32.30000	18.08473	120.00000	30.88357	9.35000	130.00000	31.20432	5.10000							0.26100	1.95505	5.95000	0.34800	2.50358	11.05000	0.43500	2.55000	16.52567	0.52200	2.55000	21.63260	0.60900	2.55000	26.49098	0.69600	3.71823	28.90000	0.78300	6.11508	28.90000	0.87000	8.50000	28.91690	0.95700	10.87009	28.90000
